RP_COMPANY_ID,COMPANY_NAME,COUNTRY,SECTOR
434F38,ResMed Inc.,United States,Health Care
1AA450,Shanghai Stonehill Technology Co. Ltd.,China,Technology
D1C0B9,1-800-FLOWERS.COM Inc.,United States,Consumer Services
5BBCF8,Alsea S.A.B. de C.V.,Mexico,Consumer Services
89D5EF,Biprogy Inc.,Japan,Technology
C876E7,iReader Technology Co. Ltd.,China,Technology
431B74,Deere & Co.,United States,Industrials
7753DB,Schroder AsiaPacific Fund PLC,United Kingdom,Financials
3B318A,Stitch Fix Inc.,United States,Consumer Services
23699B,Dyne Therapeutics Inc.,United States,Health Care
58FA72,Changjiang Publishing & Media Co. Ltd.,China,Consumer Services
F882AF,Stantec Inc.,Canada,Industrials
12A216,Unicaja Banco S.A.,Spain,Financials
A398CB,Shinkong Synthetic Fibers Corp.,Taiwan,Consumer Goods
5242CD,CTF Services Ltd.,Bermuda,Financials
6FE5F1,Neway Valve (Suzhou) Co. Ltd.,China,Industrials
655C40,Karat Packaging Inc.,United States,Industrials
CD70A7,Qingdao Gon Technology Co. Ltd.,China,Industrials
6BEBF5,PIMCO Municipal Income Fund,United States,Financials
C27E19,Acadia Realty Trust,United States,Real Estate
47F966,Capgemini S.E.,France,Technology
128A7F,Core Lithium Ltd.,Australia,Basic Materials
61FBBB,AviChina Industry & Technology Co. Ltd.,China,Industrials
D45452,Woolworths Holdings Ltd.,South Africa,Consumer Services
ED29C6,Hero MotoCorp Ltd.,India,Consumer Goods
82B57E,Accendra Health Inc.,United States,Health Care
F7C0E5,Weilong Delicious Global Holdings Ltd.,Cayman Islands,Consumer Goods
351438,Ningbo Yunsheng Co. Ltd.,China,Basic Materials
9A281D,KRBL Ltd.,India,Consumer Goods
024205,Galp Energia SGPS S.A.,Portugal,Energy
B8C863,Great Portland Estates PLC,United Kingdom,Real Estate
AC1952,Bridgewater Bancshares Inc.,United States,Financials
NTON0H,Servyou Software Group Co. Ltd.,China,Technology
357F17,Hongmian Zhihui Science & Tech Innov Co. Ltd.,China,Consumer Goods
521317,Taylor Wimpey PLC,United Kingdom,Consumer Goods
AA329B,Jiahe Foods Industry Co. Ltd.,China,Consumer Goods
9BE5BF,Malaysian Pacific Industries Bhd,Malaysia,Technology
790D0D,Urban Edge Properties Co.,United States,Real Estate
B3C867,Nuveen PA Quality Municipal Income Fund,United States,Financials
0BD4E8,Granite Construction Inc.,United States,Industrials
BA62D6,Volution Group PLC,United Kingdom,Industrials
A76E5B,UBE Corp.,Japan,Industrials
D5AF19,BlackRock Finance Inc.,United States,Financials
F2F91D,Formosa Petrochemical Corp.,Taiwan,Energy
17D077,Postal Savings Bank of China Co. Ltd.,China,Financials
